Crop,Problem,State,Ans1,Ans2,Ans3,Ans4,Ans5,Time,Crop_w_score
Bhindi(OkraLadysfinger),termite,HARYANA,Kisan bhai aap apne bhindi me Chlorpyrifos 20  EC 1 liter dava sichayee ke pani ke sath prayog kren,apply Chlorpyrifos  750 ml acre mix in sand after thaT light irrigation should be applied in field,Spray imedachlorprid 178 SL (Admire confidor 200 SC 250 ml per hectare) 57 ml at 15 liter of water,Spray imedachlorprid 178 SL (Admire confidor 200 SC 250 ml per hectare) 57 ml at 15 liter of water,TO CONTROL TERMITES IN BHINDI BROADCAST CHLOROPYRIPHOS  15 LITER BY MIXING IT WITH 10 KG SANDACRE,25.642831,0.005340654982766357
Bhindi(OkraLadysfinger),aphids,ODISHA,Aphids in bhindiAdvised  to contact us again as you have already applied insecticides  in the field,For control of aphid and caterpillar in okra spraying 70 gm proclaim in 125 litre of water per acre,recommended to this insecticide major used in the cotton crop targetbollworm complex 400600 ml acre,RECOMMENDED TO SPRAY MONOCROTOPHOS (NUVACRON) 320 ML 200 LITRES OF WATER ACRE   320    200         ,Control of Whitefly Aphids Thrips Mealy bugs in okra  Spray Neem Oil(Nimbecidine)  5 ml  1 lt water,22.504859,0.005340654982766357
Bitter Gourd,stem rot,WEST BENGAL,Control stem rot in bitter gourd are spray indofil m45  25gm  bavistin  10gm10 litre of water,SPRAY CARBENDAZIME 25GMLIT OF WATER WITH MULTIMICROTNUTRIENT 3MLLIT OF WATER FOR BOTTLEGORUD,RECOMMENDED FOR SPRAY TRICHODARMA VIRIDE  5 GM PSEUDMONAS FLUORESCENS  5 GM 1 LIT OF WATER,SPRAY Trichoderma viride  5 GMLIT OF WATER AND Pseudomonas fluorescens  5 GMLIT OF WATER,STEM ROT IN BITTER GOURD SPRAY REDOMIL GOLD 40 GRAM PLANTOMYCINE 6 GRAM15 LITRE OF WATER,22.272565,0.002422671560837651
Bitter Gourd,white fly,WEST BENGAL,white fly on bitter gourd Spray Actra 5 gm  M 45 30 gram 15 Liter of Water(Thiomithoxom 25)Syngenta,RECOMMENDED TO SPRAY THIAMETHOXAM(ACETARA)5GM10 LITER OF WATER TO CONTROL WHITE FLY IN BITTER GOURD,RECOMMENDED TO SPRAY DIMETHOTE 30 EC 2ML1 LITER OF WATER OR THIOMETHOXAM 25 WG 5GM10 LITER OF WATER,RECOMMENDED TO SPRAY IMIDACHLORIDE 178 7ML15 LITER OF WATER OR DIMETHOATE 30 EC 2ML1 LITER OF WATER,RECOMMENDED TO SPRAY DIMETHOATE 30 EC 2ML1 LITER OF WATER OR THIOMETOXAM 25 WG 5GM10 LITER OF WATER,23.970276000000002,0.002422671560837651
Bitter Gourd,sucking pest,MADHYA PRADESH,RECOMMENDED TO SPRAY THIOMETHOXAM 5 GRAM PER 10 LITRE WATER TO CONTROL SUCKING PEST IN BITTER GOURD,Recommended for to control sucking pest in crop spray fipronil (Regent)  25 ml at 15 liter of water,Recommended for spray Imidacloprid( confidor) 178  SL  1012 ml pump Chlorpyriphos 20 ec 2530 mlpump,recommended to control sucking pest in bittergourd  crop  imedachlorprid 57 ml at 15 liter of water,Recommended for spray Imidacloprid( confidor) 178  SL  1012 ml pump Chlorpyriphos 20 ec 2530 mlpump,29.945348,0.002422671560837651
Bitter Gourd,aphid,UTTAR PRADESH,RECOMMENDED TO SPRAY THIOMETHOXAM 25WG  10GM PER 15 LITER OF WATER TO CONTROL APHIDS IN BITTERGOURD,spray dimethoate 30 EC  1000 MLHECTARE dissolve in 500 litre of water to contyrol aphids in musterd,aphid attack in bitter gourd spray 200 ml rogor or malathion 250 ml in 150 litres of water per acre,RECOMMENDED TO SPRAY DIMETHOATE 30EC(ROGOR)2 ML PER 1 LITRE WATER TO CONTROL APHIDS IN BITTER GOURD,Recommended for Spray Imidachloprid 05 mllit along with sufficient quantity of stickers like Teepol,9.593494999999999,0.002422671560837651
Bitter Gourd,mite,WEST BENGAL,recommended to spray methyl demeton 25 ec 2ml1 liter of water or dicofol 185 ec 4ml1 liter of water,RECOMMENDED SPRAY OF DICOFOL 185 EC  3 MLLITRE OF WATER FOR CONTROLLING MITE ATTACK IN BITTER GOURD,RECOMMENDED TO SPRAY DIMETHOATE(ROGOR)2ML1 LITER OR METHYL DEMETON(METASYSTOX)2ML1 LITER OF WATER,RECOMMENDED TO SPRAY DICOFOL 185 EC 4ML1 LITER OF WATER OR DIMETHOATE 30 EC 2 ML1 LITER OF WATER,Recommended to use spiromecifen 229EC(oberon)1 ml  litre water or 200 ml200 litre water per acre,8.231854,0.002422671560837651
Black Gram (urd bean),mosaic,UTTAR PRADESH,methyl demeton 25 EC athva dimethoate 30 EC ki 2 mili matra ko prti liter pani me milakar spre kare,urd me peela pan hone par Daaimethoait (30 EC) OR Mithayl O dimeton (25 EC) ki 1 liter  hectare par,methyl demeton 25 EC athva dimethoate 30 EC ki 2 mili matra ko prti liter pani me milakar spre kare,methyl demeton 25 EC athva dimethoate 30 EC ki 2 mili matra ko prti liter pani me milakar spre kare,methyl demeton 25 EC athva dimethoate 30 EC ki 2 mili matra ko prti liter pani me milakar spre kare,11.509738,0.002323927961193234
Black Gram (urd bean),sucking pest,MADHYA PRADESH,Recommended for to control sucking pest in urd crop spray imedachlorprid 57 ml at 15 liter of water,Recommended for to control sucking pest in urd crop spray imedachlorprid 57 ml at 15 liter of water,Recommended for to control sucking pest in urd crop spray imedachlorprid 57 ml at 15 liter of water,Recommended for to control sucking pest in urd crop spray imedachlorprid 57 ml at 15 liter of water,RECOMMENDED TO SPRAY ACETAMIPRID(PRIDE)   40 GRAMS  200 LITRES OF WATER ACRE    40     200         ,34.573789,0.002323927961193234
Black Gram (urd bean),white fly,MADHYA PRADESH,Spray Dimethoate 30EC (Rogar) 40 ml per pumpSpray Daiphenthuran (Pegasas) 10 to 15 gram at per pump,Spray Dimethoate 30EC (Rogar) 40 ml per pumpSpray Daiphenthuran (Pegasas) 10 to 15 gram at per pump,RECOMMENDED TO SPRAY ACETAMIPRID(PRIDE)   40 GRAMS  200 LITRES OF WATER ACRE    40     200         ,RECOMMENDED FOR SPRAY ACEPHATE 300 GRACRE IN  200 LT WATER   DIMETHOATE(ROGAR   ROGARIN)  400MLACRE,black gram white fly management   RECOMMENDED TO SPRAY IMIDACLOPRID 60 ML 200 LITRES OF WATER  ACRE,27.645612,0.002323927961193234
Black Gram (urd bean),caterpiller,ANDHRA PRADESH,RECOMMENDED TO SPRAY FLUBENDIAMIDE  (FAME) 40 ML 200 LITRES OF WATER  ACRE     40     200          ,leaf eating caterpillar management RECOMMENDED TO SPRAY TRIAZOPHOS 300 ML 200 LITERS OF WATER  ACRE,CATERPILLAR CONTROL IN BLACKGRAM RECOMMENDED TO SPRAY  CHLORPYRIFOS 500 ML200 LITERS OF WATER  Acre,black gram tobacco caterpillar management  RECOMMENDED TO SPRAY ACEPHATE 15 GRAMS   LITRES OF WATER,marshal 300mlacre(carbosulfon)multi K (13045) 5glitagromin max 5glitsulfex 3glitoberon 150200mlacre,19.641989000000002,0.002323927961193234
Black Gram (urd bean),blight,ANDHRA PRADESH,spray Carbendazim 12  Mancozeb 63 WP (2 gram)  Cypermethrin 5 EC (2 ml)liter of water in black gram,SPRAY OF RIDOMIL MZ(METALEXYLMENCOZEB) 2 GM PER LITER WATER  STREPTOCYCLIN 2 GM PER 15 LITER WATER,Recommended for spray 3 g of Copper Oxychloride per litre at an interval of 12 days is recommended,RECOMMENDED TO SPRAY PROPICONAZOLE  (TILT)  200 ML  200 LITRES OF WATER ACRE    200     200       ,spray Streptomycin Sulphate 9  Tetracylin Hydrocloride 1 SP (6 g60 liter water)In black gram crop,11.912832,0.002323927961193234
Bottle Gourd,Anthracnose,UTTAR PRADESH,SPRAY BLITOXBLUE COPPER 50INDOFIL M45  2 gL OF WATER FOR THREE TIMES AT AN INTERVAL OF 5 DAYS,RECOMMENDED TO DRENCH COPPER OXY CHLORIDE  (Blitox )3 GRAMS  1 LITRE OF WATER    3          ,Control Anthracnose in lauki are spray indofil m45  25gm  bavistin  10gm10 liter of water,control anthrecnose in bottle gourd is spray indofil m45  25gm 10 litre of water,control anthrecnose in bottle gourd is spray indofil m45  25gm 10 litre of water,18.48641,0.0021129688257499933
Bottle Gourd,leaf spot,UTTAR PRADESH,SPRAY OF ACEPHATE 75 SP 2 GM PER LITER WATER CARBENDAZIM 12  MANCOZEB 63 WP 2 GM PER LITER WATER,Control leaf spot in bottle gourd are spray indofil m45  25gm  bavistin  10gm10 litre of water,RECOMMENDED TO SPRAY ( CARBENDAZIM MANCOZEB ) 400GM  200 LIT OF WATER ACRE(  ) 400            ,Control leaf spot in bottle gourd are spray indofil m45  25gm  bavistin  10gm10 litre of water,Control leaf spot in bottle gourd are spray indofil m45  25gm  bavistin  10gm10 litre of water,25.716856,0.0021129688257499933
Bottle Gourd,Downy mildew,BIHAR,Recommended to spray Mancozeb 75 WP 25gm per litre of water to control Downy Mildew in Bottle Gourd,Recommended to spray Mancozeb 75 WP 3gm per litre of water to control Downy Mildew in Bottle Gourd,RECOMMENDED FOLIAR SPRAY MANCOZEB 75WP(DHANUKAM45) 3GMLTR WATER FOR DOWNEY MILDEW IN BOTTLE GOURD,RECOMMENDED SPRAY METALAXYLMANCOZEB(TATA MASTER) 25GMLTR WATER FOR DOWNEY MILDEW IN BOTTLE GOURD,Mancozeb 75 WP 2gram1li pani me upyog kareThiomethoxam 25 WDG 1gram 2 li pani me upyog kare,33.038622,0.0021129688257499933
Bottle Gourd,stem blight,UTTAR PRADESH,ADVISED TO SPRAY BLITOX 50 OR BLUE COPPER  2 GRAMLIT WATER23 SPRAYS AT 56 DAYS INTERVAL,RECOMMENDED TO SPRAY ROSHAN PLUS(HEXACONAZOLE)OR CONTAF(HEXACONAZOLE) 15 MLLIT WATER,RECOMMENDED FOR SPRAY   METALAXYL 8  MANCOZEB 64  (72 WP)  25 GM   LIT OF WATER,RECOMMENDED FOR SPRAY  CAPTAN 70  HEXACONAZOLE 5 ( 75 WP)   1 GM  LIT OF WATER,RECOMMENDED FOR SPRAY  CAPTAN 70  HEXACONAZOLE 5 ( 75 WP)   1 GM  LIT OF WATER,30.896125,0.0021129688257499933
Bottle Gourd,Powdery mildew,MADHYA PRADESH,For control of Powdery Mildew in CUCURBITS spray Karathane 5080ml per acre in 100lt water per acre,For control of Powdery Mildew in CUCURBITS spray Karathane 5080ml per acre in 100lt water per acre,SPRAY OF KERATHIAN LC 1 GRAM PER LITER WATER FOR CONTROL OF POWDERY MILDEW DISEASE IN BOTTLEGOURD,Recommended to spray Karathane 135 ml per 200 litre of water for powdery mildew in bitter gourd,kisan ji Carbendazim 12Mancozeb 63 25 gram dawa 1 liter pani ke  hisab se ghol kar spray kare ,38.39006,0.0021129688257499933
Brinjal,fruit borer,ODISHA,Recommended to spray spinosad 45SC  5ml per 15 litre of water for control of fruit borer in Brinjal,RECOMENDED TO SPRAY CARTAP HYDROCHLORIDE (CALDAN) 2GMLITER WATER TO CONTROLL FRUIT BORER IN BRINJAL,Recommended for spray Neem seed kernel extract (NSKE) 50 ml khadi soap liquid 10 ml  litre of water,RECOMENDED TO SPRAY CARTAP HYDROCHLORIDE (CALDAN) 2GMLITER WATER TO CONTROLL FRUIT BORER IN BRINJAL,RECOMENDED TO SPRAY CARTAP HYDROCHLORIDE (CALDAN) 2GMLITER WATER TO CONTROLL FRUIT BORER IN BRINJAL,104.496319,0.010626511442132816
Brinjal,aphid,UTTAR PRADESH,Recommended to spray Thiamethoxam 25WG  80gm per acre for controlling Aphids infestation in Brinjal,Recommended to spray Dimethoate 30 EC  Neem oil 2ml per litre of water to control Aphids in brinjal,Recommended to spray Sectin  30 gm per 15 litres of water to control leaf spot disease in brinjal ,Attack of Aphids and Thrips on brinjal Spray  Actra 5 gm15 Liter of Water(Thiomithoxom 25)Syngenta,spray of copper oxycloride 35 grampumpsteptocycline 2 grampump for fungle imidaclorpried 57 mlpump,38.118743,0.010626511442132816
Brinjal,wilting,ODISHA,RECOMMENDED FOR SPRAY COPPER OXYCHLORIDE 20GM STREPTOCYCLIN 15GM10L OF WATER FOR WILTING IN BRINJAL,WILTING IN BRINJAL RECOMMENDED TO SPRAY COPPER OXYCHLORIDE 30G  STREPTOCYCLIN 15G IN 10 LITRE WATER,RECOMMENDED FOR SPRAY COPPER OXYCHLORIDE 20GMSTREPTOCYCLIN 15GM 10L OF WATER FOR WILTING IN BRINJAL,RECOMMENDED FOR SPRAY COPPER OXYCHLORIDE 20GM STREPTOCYCLIN 15GM10L OF WATER FOR WILTING IN BRINJAL,RECOMMENDED TO SPRAY COPPER OXY CHLORIDE 2 G  PLANTOMYCIN 1 G IN 1 LIT WATER FOR WILTING IN BRINJAL,49.589293,0.010626511442132816
Brinjal,caterpillars,CHHATTISGARH,RECOMMENDED TO APPLY THIODICARB 75WP 2GM1 LITRE WATER TO CONTROL LEAF EATING CATERPILLAR IN BRINJAL,RECOMMENDED TO SPRAY ACETAMIPRID(PRIDE)   40 GRAMS  200 LITRES OF WATER ACRE    40     200         ,Recommended for spray Chloropyriphos 20 EC 2ml per litre of water to control Caterpillar in brinjal,Recommended for spray Chloropyriphos 20 EC 2ml per litre of water to control Caterpillar in brinjal,SPRAY QUINALPHUS 2 ML IN ONE LITRE OF WATER FOR SUCKING PEST AND LEAF EATING CATERPILLAR IN BRINJAL,79.548272,0.010626511442132816
Brinjal,stem borer,ODISHA,Recommended for to control stem borer in brinjal crop spray cartap hydrochloride 50 sp 300400gmacer,RECOMENDED TO SPRAY CHLOROPYRIPHOS 20EC (CLASSIC ) 2MLLITER WATER TO CONTROLL STEM BORER IN BRINJAL,RECOMMENDED TO SPRAY EMAMECTIN BENZOATE  8 GRAM  15 LIT WATER AFTER CUTTING DOWN THE AFFECTED PLANT,RECOMMENDED TO SPRAY EMAMECTIN BENZOATE  8 GRAM  15 LIT WATER AFTER CUTTING DOWN THE AFFECTED PLANT,APPLY CORAZEN 1ML3 LIT WATERPER ACRE 200 LIT WATEROR ACEPHATE 2GMLITOR IMIDACHOLOPID 1ML3 LIT WATER,103.762854,0.010626511442132816
Broad Bean,blight,WEST BENGAL,APPLY COPPER OXYCHLORIDE  45  PLANTOMYCIN  15 GM  15 LITER OF WATER FOR LEAF BLIGHT IN BEAN,Downy or blight  or Powdery( Spray Tilt 20 ml15 Liter of Water(Propiconyazol 25EC)Syngenta,Copper Oxychloride 50 WP  doseacre  1 kg acre 200250 liter pani  me ghol kar chidkav kare,RECOMMENDED FOR SPRAY  CARBENDAZIM 12  MANCOZEB 63 (75 WP)   2 GM   LIT OF WATER,RECOMMENDED FOR SPRAY  METALAXYL 8  MANCOZEB 64  (72 WP)  25 GM   LIT OF WATER,0.794903,0.00011191194287140088
Broad Bean,yellow,WEST BENGAL,Carbendazim 12 Mancozeb 63 WP ki matraa 300 gram acre 200 litar pani ke sath milaakar sprey kare,RECOMMENDED FOR SPRAY  METALAXYL 8  MANCOZEB 64  (72 WP)  25 GM   LITER OF WATER,RECOMMENDED FOR SPRAY   METALAXYL 8  MANCOZEB 64  (72 WP)  25 GM   LIT OF WATER,RECOMMENDED FOR SPRAY  METALAXYL 8  MANCOZEB 64  (72 WP)  25 GM   LIT OF WATER,RECOMMENDED FOR SPRAY  METALAXYL 8  MANCOZEB 64  (72 WP)  25 GM   LIT OF WATER,0.793728,0.00011191194287140088
Broad Bean,downy mildew,WEST BENGAL,RECOMMENDED FOR SPRAY  METALAXYL 8  MANCOZEB 64  (72 WP)  25 GM   LIT OF WATER,RECOMMENDED FOR SPRAY  METALAXYL 8  MANCOZEB 64  (72 WP)  25 GM   LIT OF WATER,RECOMMENDED FOR SPRAY  METALAXYL 8  MANCOZEB 64  (72 WP)  25 GM   LIT OF WATER,RECOMMENDED FOR SPRAY  METALAXYL 8  MANCOZEB 64  (72 WP)  25 GM   LIT OF WATER,RECOMMENDED FOR SPRAY  METALAXYL 8  MANCOZEB 64  (72 WP)  25 GM   LIT OF WATER,1.762834,0.00011191194287140088
Broad Bean,blight,WEST BENGAL,APPLY COPPER OXYCHLORIDE  45  PLANTOMYCIN  15 GM  15 LITER OF WATER FOR LEAF BLIGHT IN BEAN,Downy or blight  or Powdery( Spray Tilt 20 ml15 Liter of Water(Propiconyazol 25EC)Syngenta,Copper Oxychloride 50 WP  doseacre  1 kg acre 200250 liter pani  me ghol kar chidkav kare,RECOMMENDED FOR SPRAY  CARBENDAZIM 12  MANCOZEB 63 (75 WP)   2 GM   LIT OF WATER,RECOMMENDED FOR SPRAY  METALAXYL 8  MANCOZEB 64  (72 WP)  25 GM   LIT OF WATER,0.797925,0.00011191194287140088
Broad Bean,sucking pest,ANDHRA PRADESH,SUCKING PEST AND LEAF EATING CATERPILLAR IN BROAD BEAN  SPRAY QUINALPHUS 2 ML IN ONE LITRE OF WATER,Spray imidacloprid 178 SL (Admire confidor 200 SC 250 ml per hectare) 57 ml at 15 liter of water,Spray imidacloprid 178 SL (Admire confidor 200 SC 250 ml per hectare) 57 ml at 15 liter of water,to control sucking pest in broad bean crop spray imedachlorprid 57 ml at 15 liter of water,RECOMMENDED TO SPRAY ACEPHATE 75 SP  2 GM  1 LITER OF WATER FOR SUCKING PEST IN BROAD BEAN,1.765048,0.00011191194287140088
Broccoli,white rust,ANDHRA PRADESH,RECOMMENDED FOR SPRAY  METALAXYL 8  MANCOZEB 64  (72 WP)  25 GM   LIT OF WATER,No answer,No answer,No answer,No answer,0.7330399999999999,3.878399647832204e-05
Broccoli,leaf spot,JHARKAND,Control leaf spot in broccoli is spray indofil m45 25gm  bavistin  10gm10 litre of water,RECOMENDED TO SPRAY MANCOZEB 3GMLITER WATER TO CONTROLL LEAF SPOT IN BROCCOLI,control leaf spot of broccoli is spray blitox  3gramlitre of water,ADVISED HIM TO APPLY AMISTER  2 ML  LITRE OF WATER,spray with hexaconazol  100ml200 litre of water,0.7034699999999999,3.878399647832204e-05
Broccoli,caterpillar,MAHARASHTRA,Advised to spray QUINALPHOS 25 EC 400 ml200 liter wateracre to control Hadda beetles in Brinjal,Control leaf caterpillar in broccoli is spray cypermethelin  1 mllitre of water,Control leaf caterpillar in broccoli is spray cypermethelin  1 mllitre of water,Control leaf caterpillar in broccoli is spray cypermethelin  1 mllitre of water,Control leaf caterpillar in broccoli is spray cypermethelin  1 mllitre of water,0.606137,3.878399647832204e-05
Broccoli,black rot,BIHAR,USEBAVISTIN 1GM PER LITER  WATER AND GIVE IN ROOT ,USE CARBENDAZIM 250GM  BHIGA WITH IRRIGATION,             40  15       15           ,No answer,No answer,0.706879,3.878399647832204e-05
Broccoli,cutworm,HIMACHAL PRADESH,Drainching with Chaloropayriphos  3 Ml  1 Liters of Water,Drainching with Chaloropayriphos  2 ml  1 Liter of water,No answer,No answer,No answer,0.5087689999999999,3.878399647832204e-05
Brown Sarson,aphid,BIHAR,Recommended for to control  oxydematon methyl 25 EC 400mlacre( contact upl buprolord) foliar spray,Recommended for to control  oxydematon methyl 25 EC 400mlacre( contact upl buprolord) foliar spray,Recommended for to control  oxydematon methyl 25 EC 400mlacre( contact upl buprolord) foliar spray,kisan sarso ke khet me mahu ke niyantran ke liye Dimethioate30EC 2mlliter pani ke sath spray kare,spray of thayomethaxam 25  WG 80 GRAM  copper oxi cloraied 50  WP 350 gram  180 litre water acre,0.6704859999999999,0.00010454981438138673
Brown Sarson,blight,UTTAR PRADESH,spray of copper oxi cloraied 50  WP 400 gram  daimethoet 30  EC 250 ml acre  180 litre water,KISAN BHAI AAP CARBENDAZIM 1GMLITER STREPTOCYCLIN 6 GMACRE KE ANUSAR SPRAY KARE,RECOMMENDED FOR SPRAY CARBENDAZIM 12  MANCOZEB 63 (75 WP)   2 GM   LIT OF WATER,USE COPPER OXI CLORAIED 50  500 GRAM MIX IT 10 KG SOIL AND BROADCAST IT acre,SPRAY OF COPPER OXICHLORIDE 45 GM  STREPTOCYCLIN 2 GM PER 15 LITER WATER,0.746577,0.00010454981438138673
Brown Sarson,mildew,RAJASTHAN,powerdew mildew control in mustard spray of kerathin 1 g per litre water,  Hexaconazole 5 EC 400 ml Beldamycin sulfate 6 gramAcer 200       ,Hexaconazole 5 EC 400 ML KO 150 LITER ME GHOLKER SPRAY KARWAYE,                   I 13              19       9        10    ,                 2         I     26       14        15     ,0.747419,0.00010454981438138673
Brown Sarson,stem rot,UTTAR PRADESH,pray of captan 70  hexaconazol 5  350 gram acre   streptosayclin 5  6 gram  180 litre water,Propiconazole 25 EC  200 mili  acre 200 liter of water,  Copper Oxychloride 50 WP 500 gramAcer 200        ,  Copper Oxychloride 50 WP 500 gramAcer 200        ,  Copper Oxychloride 50 WP 500 gramAcer 200       ,1.181611,0.00010454981438138673
Brown Sarson,aphid,RAJASTHAN,Recommended for to control  oxydematon methyl 25 EC 400mlacre( contact upl buprolord) foliar spray,Recommended for to control  oxydematon methyl 25 EC 400mlacre( contact upl buprolord) foliar spray,Recommended for to control  oxydematon methyl 25 EC 400mlacre( contact upl buprolord) foliar spray,kisan sarso ke khet me mahu ke niyantran ke liye Dimethioate30EC 2mlliter pani ke sath spray kare,spray of thayomethaxam 25  WG 80 GRAM  copper oxi cloraied 50  WP 350 gram  180 litre water acre,0.669127,0.00010454981438138673
Brussils Sprouts,yellowing,BIHAR,Spray saaf  2 ml in 1 litre of water,Spray saaf  2glit of water,No answer,No answer,No answer,0.37240300000000004,1.195397151729104e-05
Brussils Sprouts,aphids,MAHARASHTRA,RECOMMENDED TO SPRAY  SPINOSAD 75 MLACRE SPRINTER  TRACER,No answer,No answer,No answer,No answer,0.35808,1.195397151729104e-05
Brussils Sprouts,maggots,UTTAR PRADESH,No answer,No answer,No answer,No answer,No answer,0.35326399999999997,0.0
Brussils Sprouts,cutworm,UTTAR PRADESH,No answer,No answer,No answer,No answer,No answer,0.35418299999999997,0.0
Brussils Sprouts,nematodes,UTTAR PRADESH,No answer,No answer,No answer,No answer,No answer,0.362858,0.0
Butter Pea (Vegetable),Downy mildew,HARYANA,No answer,No answer,No answer,No answer,No answer,0.641894,0.0
Butter Pea (Vegetable),Powdery mildew,UTTAR PRADESH,RECOMMENDED TO SPRAY DINOCAP  (KARATHANE) 200 ML 200 LITRES OF WATER  ACRE    200     200        ,SPRAY SULPHEX 4 GM PER 1 LITTER WATER FOR POWDER MILDEW IN BUTTER PEA,Recommended for spray mancozeb carbendazim (saaf) 2 gmlit of water, 20   25             27      16        22      07           ,     1ml 1          16     16       33   3            ,0.682815,2.6450533801751918e-05
Butter Pea (Vegetable),Pea rust,MAHARASHTRA,No answer,No answer,No answer,No answer,No answer,0.539155,0.0
Butter Pea (Vegetable),Ascochyta blight,JHARKAND,No answer,No answer,No answer,No answer,No answer,0.7521220000000001,0.0
Butter Pea (Vegetable),White rot,UTTAR PRADESH,No answer,No answer,No answer,No answer,No answer,0.573901,0.0
Cabbage,wilt,MAHARASHTRA,SPRAY 30 GRAM COPPER OXYCHLORIDE AND 15 GRAM PLANTOMYCIN IN 15 LITRES OF WATER FOR CABBAGE WILT,SPRAY   STREPTOMYCINE SULPHATE  TETRACYCLINE HYDROCHLORIDE ( 9010 SP)  1 GM  10 LIT OF WATER,SPRAY   STREPTOMYCINE SULPHATE  TETRACYCLINE HYDROCHLORIDE ( 9010 SP)  1 GM  10 LIT OF WATER,APPLY STREPTOCYCLINE  3GM  COPPER OXY CHLORIDE  35GM 15LIT WATER FOR BACTERIAL WILT CABBAGE,dranching of Copperoxychloride  40 gmpump and  Trichoderma viride  3 kg  50 kg FYM  acre ,2.714293,0.0007240691319044859
Cabbage,Downy Mildew,ASSAM,SUGGESTED TO SPRAY TRICHODERMA VIRIDE OR BACILLUS SUBTILIS ETC FOR FUNGICIDE  25 GMLT OF WATER,RECOMMENDED SPRAY METALAXYLMANCOZEB(TATA MASTER) 25GMLTR WATER FOR DOWNEY MILDEW IN CABBAGE,Spray ridomil 4 gram in 1 litre water in 8 days interval to control Downy mildew in cabbage,RECOMMENDED TO SPRAY MANCOZEB 75WP 3GM1 LITRES WATER TO CONTROL DOWNY MILDEW IN CABBAGE,Recommended to spray Ridomil 25gm per litre of water to control Downy mildew in cabbage,9.881372,0.0007240691319044859
Cabbage,hopper,WEST BENGAL,RECOMMENDED TO SPRAY CHLOROPYRIPHOS 20EC  2 ML  LITRE WATER TO CONTROL LEAF HOPPER IN CABBAGE,RECOMMENDED TO SPRAY CHLOROPYRIPHOS 20EC  2 ML  LITRE WATER TO CONTROL LEAF HOPPER IN CABBAGE,Recommended for spray dimethoate 2 ml  neem oil 3 ml  sticking agent 1 ml  litre of water,SPRAY CHLOROPYRIPHOS  2 ML  1 LITER OF WATER FOR GRASS HOPPER IN CABBAGE,RECOMMENDED FOR SPRAY AZADIRACTIN 5 (50000 PPM )  25 ML  LIT OF WATER,3.5833720000000002,0.0007240691319044859
Cabbage,caterpillar,MAHARASHTRA,for control of catterpillar in cabbage spray avant 130 ml or proclaim 70 gm in 80100 litre of water,RECOMMENDED TO SPRAY QUINALPHOS 25EC 2ML1 LITRE WATER TO CONTROL LEAF EATING CATERPILLAR IN CABBAGE,spray quinalphos 25 ec or dichlorvos 76 ec 2ml per litre of water to control caterpillar in cabbage,23252381235723672344237923542381234723792360 23302368 234723572366235223392368 23252352236623572368,ATTACK OF CATTERPILLAR ON CABBAGE Spray Proclaim 07 gm15 liter of Water(Emamectin Benzoate)Syngenta,5.492591,0.0007240691319044859
Cabbage,caterpillars,MADHYA PRADESH,RECOMMENDED TO SPRAY QUINALPHOS 25EC 2ML1 LITRE WATER TO CONTROL LEAF EATING CATERPILLAR IN CABBAGE,spray quinalphos 25 ec or dichlorvos 76 ec 2ml per litre of water to control caterpillar in cabbage,23252381235723672344237923542381234723792360 23302368 234723572366235223392368 23252352236623572368,Spray corajan 8 10 gram fem 45 ml at 15 liter of water or indoxa carb 1215 ml at 15 liter of water,Attack of Caterpillar ON CABBAGESpray Proclaim 07 gm15 liter of Water(Emamectin Benzoate)Syngenta,6.214526,0.0007240691319044859
Capsicum,caterpillar,HARYANA,to control caterpillar in sweet papper (shimla mirch) spray Ekalux 800mlacre  with 120 litter water,TOBACCO CATERPILLAR IN CABBAGERECOMMENDED TO SPRAY THIODICARB 75 WP (LARVIN) 2 GRAM1 LITER OF WATER,THE CONTROL OF caterpillar IN CHILLI(MIRCH) CROP spray malathian 50EC 400mlacre100 litter water,Control leaf caterpillar in capsicum is spray Deltamethelin 28EC(Desishi)  1 mllitre of water,Control leaf caterpillar in capsicum is spray Deltamethelin 28EC(Desishi)  1 mllitre of water,5.810837,0.0006594797365951864
Capsicum,root rot,HIMACHAL PRADESH,Control of root rot in French Bean Drenching with Bavistin  10 gm  Mancozeb  25 gm per 10 lt water,Drenching with Bavistin  10 gm  Mancozeb  25 gm  Streptocycline  1 gram per 10 lt water per plant,Control root rot in Shimla mirch  are drenching indofil m45  25gm  bavistin  10gm10litre of water,For control of root rot i broadcast 500 gram Saaf mixed with sand per acre         500           ,Control root rot in shimla mirch  are drenching indofil m45 25gm  bavistin  10gm10litre of water,7.1012830000000005,0.0006594797365951864
Capsicum,sucking pest,HIMACHAL PRADESH, control  of sucking pest  attack in  Spray of imidaclorprid 178SL 5 to 6 ml per 16 littre of water,3Spray imedachlorprid 178 SL (Admire confidor 200 SC 250 ml per hectare) 57 ml at 15 liter of water,3Spray imedachlorprid 178 SL (Admire confidor 200 SC 250 ml per hectare) 57 ml at 15 liter of water,3Spray imedachlorprid 178 SL (Admire confidor 200 SC 250 ml per hectare) 57 ml at 15 liter of water,Spray imedachlorprid 178 SL (Admire confidor 200 SC 250 ml per hectare) 57 ml at 15 liter of water,10.082695,0.0006594797365951864
