Crop,Problem,State,Ans1,Ans2,Ans3,Ans4,Ans5,Time
Brown Sarson,aphid,RAJASTHAN,SPRAY OF ACIPHATE 30 GRAM IMIDACLOPRID 8 ML15 LITER WATER IN SARSO,USE IMIDACHLOPRID 178 SL 05 ML PER LITER WATER IN ROOT ZONE,DAIMITHIYOT 30EC 2 ML LITER  KERATHIYAN 1 ML LITER SPRAY,SPRAY OF  MALATHION 50 EC SOLUTION 2 ML PER LITER WATER,SPRAY OF IMIDACHLOPRID 178 SL 05 ML PER LITER WATER,0.499419
Brussils Sprouts,yellowing,BIHAR,Spray saaf  2 ml in 1 litre of water,Spray saaf  2glit of water,No answer,No answer,No answer,0.356488
Brussils Sprouts,aphids,MAHARASHTRA,No answer,No answer,No answer,No answer,No answer,0.415622
Brussils Sprouts,maggots,UTTAR PRADESH,No answer,No answer,No answer,No answer,No answer,0.466616
Brussils Sprouts,cutworm,UTTAR PRADESH,No answer,No answer,No answer,No answer,No answer,0.46536
Brussils Sprouts,nematodes,UTTAR PRADESH,No answer,No answer,No answer,No answer,No answer,0.469188
Butter Pea (Vegetable),Downy mildew,HARYANA,No answer,No answer,No answer,No answer,No answer,0.392673
Butter Pea (Vegetable),Powdery mildew,UTTAR PRADESH, 20   25             27      16        22      07           ,        80  WDG  400    200        ,No answer,No answer,No answer,0.52943
Butter Pea (Vegetable),Pea rust,MAHARASHTRA,No answer,No answer,No answer,No answer,No answer,0.442344
Butter Pea (Vegetable),Ascochyta blight,JHARKAND,No answer,No answer,No answer,No answer,No answer,0.334137
Butter Pea (Vegetable),White rot,UTTAR PRADESH,No answer,No answer,No answer,No answer,No answer,0.493456
Cabbage,wilt,MAHARASHTRA,ABOUT CONTROLL OF WILT ATTACK ON CABBAGE SPRAY RIDOMIL GOLD 30 GM  15 LITERS OF WATER,drenching redomil gold 30gm  humic acid 30ml  15 liter of water for controlling wilt,drenching of bavistin 30 gm  humic acid 30 ml  microlla 30 ml  191919 80 gm 15 lt,DRAINCHING OF BLUE COPPER 30 GM  HUMIC ACID 30 ML  BAVISTINE 30 GM15 LITER WATER ,FOR CONTROL WILT OF ONION SEEDLING DRENCHING OF BAVISTIN 15 GM  HUMIC ACID 30 ML,0.871326
Cabbage,Downy Mildew,ASSAM,TOLD HIM TO SPRAY ROSHAN PLUS  2ML  L OF WATER,SUGGESWTED HIM TO SPRAY SAAF  2GM L OF WATER,SUGGESTED HIM TO SPRAY SAAF  2GM  L OF WATER,SPRAY RIDOMIL GOLD  1 GM PER LITER OF WATER,SUGGESTED HIM TO SPRAY SAAF  2GM L OF WATER,1.211477
Cabbage,hopper,WEST BENGAL,RECOMMENDED FOR SPRAY AZADIRACTIN 5 (50000 PPM )  25 ML  LIT OF WATER,RECOMMENDED FOR SPRAY AZADIRACTIN 1 (10000 PPM)  3 ML  LIT OF WATER,RECOMMENDED FOR SPRAY  CHLORPYRIPHOS 20 EC  25 ML   LIT OF WATER,RECOMMENDED FOR SPRAY  ACEPHATE 75 SP  15 GM  2 LIT OF WATER,RECOMMENDED FOR SPRAY  ACEPHATE 75 SP  15 GM  2 LIT OF WATER,0.802812
Cabbage,caterpillar,MAHARASHTRA,ATTACK OF CATTERPILLAR ON CABBAGE Spray Proclaim 07 gm15 liter of Water(Emamectin Benzoate)Syngenta,23252381235723672344237923542381234723792360 23302368 234723572366235223392368 23252352236623572368,Attack of Caterpillar ON CABBAGESpray Proclaim 07 gm15 liter of Water(Emamectin Benzoate)Syngenta,Attack of Caterpillar on cabbage   Spray Coragen 5ml15 Liter of Water(Chlorantraniliprole)Dupont,cabbaga Spray Rogar 15ml15 Lit of WatertomatoSPRAY MICROLLA 30 ML  BAVISTIN 30 GM 15 LITER WATER,1.294485
Cabbage,caterpillars,MADHYA PRADESH,Spray corajan 8 10 gram fem 45 ml at 15 liter of water or indoxa carb 1215 ml at 15 liter of water,Recommended  for to control caterpillar in cabbage spray to Emamectin benzoate 5  78 grampump,Recommended  for to control caterpillar in cabbage spray to Emamectin benzoate 5  78 grampump,Recommended for to control caterpillar in cabbaage spray to Emamectin benzoate 5  78 grampump,Recommended  for to control caterpillar in arhar  spray to Emamectin benzoate 5  78 grampump,1.119189
Capsicum,caterpillar,HARYANA,No answer,No answer,No answer,No answer,No answer,0.450678
Capsicum,root rot,HIMACHAL PRADESH,Control of root rot in French Bean Drenching with Bavistin  10 gm  Mancozeb  25 gm per 10 lt water,Drenching with Bavistin  10 gm  Mancozeb  25 gm  Streptocycline  1 gram per 10 lt water per plant,Control root rot in Shimla mirch  are drenching indofil m45  25gm  bavistin  10gm10litre of water,Control of root rot in capsicum  Drenching with Bavistin  10 gm  Mancozeb  25 gm per 10 lt water,Control root rot in shimla mirch  are drenching indofil m45 25gm  bavistin  10gm10litre of water,2.346959
Capsicum,sucking pest,HIMACHAL PRADESH,spray of imida cloprid  05mlliter of water,spray of imida cloprid  05liter of water,spray of malathion  1mlliter of water,spray of malathion  1mlliter of water,spray of malathion  1mlliter of water,3.243845
Capsicum,caterpillar,HIMACHAL PRADESH,Control leaf caterpillar in capsicum is spray Deltamethelin 28EC(Desishi)  1 mllitre of water,Control leaf caterpillar in capsicum is spray Deltamethelin 28EC(Desishi)  1 mllitre of water,Control leaf caterpillar in capsicum is spray Deltamethelin 28EC(Desishi)  1 mllitre of water,Control leaf caterpillar in capsicum is spray Deltamethelin 28EC(Desishi)  1 mllitre of water,control caterpiller in tomato are spray cypermethilin 1 mllitre of water for flowering time,1.903003
Capsicum,fruit borer,KARNATAKA,Spray Flubendimide 480 SC (Fame) 18 ml in 20 liter water,MALTHION 50EC  2ml OR CARBARYL  4gm per litre water,SPRAY lambda cyhalothrin  ML PER LITER OF WATER,Spray 20 ml Chlorpyriphos 20 EC in a lit water,No answer,0.547985
Cardamom,mosaic,MADHYA PRADESH,No answer,No answer,No answer,No answer,No answer,0.412527
Cardamom,leaf spot,MAHARASHTRA,No answer,No answer,No answer,No answer,No answer,0.416437
Cardamom,Damping off,KERALA,recommended to apply coc 2gmlit,No answer,No answer,No answer,No answer,0.44724
Cardamom,rhizome rot,KARNATAKA,No answer,No answer,No answer,No answer,No answer,0.340365
Cardamom,Leaf blight,KERALA,Three sprays with carbendazim 01 (or) Mancozab 02 (or) copper oxychloride 025 at 30 days interval,recommended to spray CARBENDAZIM 50 WP 2 gram per litre water,recommended to apply carbendazim 2gl,tilt 1 ml  1 ltr of water,saaf  ekalux 2mll,0.451764
Carnation,white fly,MAHARASHTRA,Spray super confidor 10 ml 15 liter water(Imida 178 sl)Bayer,Sprey Record 10 gm or Pride 10 gm  15 lit of water,No answer,No answer,No answer,0.43142
Carnation,aphid,HIMACHAL PRADESH,control aphid of carnation is spray omait  1ml 2 litre of water,SPRAY 1 ML CYPERMETHRIN PER LITRE OF WATER,SPRAY 1 ML MALATHION PER 2 LITRE OF WATER,No answer,No answer,0.348821
Carnation,aphid,JHARKAND,Aphid in mustardSpray chloropyriphos  malathion  imidachloropid  1 ml in 3 litre of water,No answer,No answer,No answer,No answer,0.319657
Carnation,fungus,HIMACHAL PRADESH,spray with bavistin  15 gm 30 litre of water ,No answer,No answer,No answer,No answer,0.346193
Carnation,beetle,JAMMU AND KASHMIR,No answer,No answer,No answer,No answer,No answer,0.316478
Carrot,Damping off,RAJASTHAN,SPRAY OF CARBENDAZIM 12  MANCOZEB 63 WP 2 GM PER LITER WATER,USED CARBENDAZIM 250GM  BIGHA,CARBANDAJIM 2 GRAMLITER SPRAY,No answer,No answer,0.944468
Carrot,Downy mildew,HARYANA,No answer,No answer,No answer,No answer,No answer,0.967546
Carrot,cottony rot,TELANGANA,No answer,No answer,No answer,No answer,No answer,0.322421
Carrot,leaf blight,ODISHA,RECOMMENDED COPPER OXYCHLORIDE 3GM PER LIT OF WATER,No answer,No answer,No answer,No answer,0.386215
Carrot,black rot,PUNJAB,No answer,No answer,No answer,No answer,No answer,0.523781
Cashew,aphid,ANDHRA PRADESH,RECOMMENDED TO SPRAY DIMETHOATE  400ML 200 LITERS OF WATER ACRE,RECOMMENDED TO SPRAY DIMETHOATE  400ML 200 LITERS OF WATER ACRE,          ,No answer,No answer,0.406594
Cashew,caterpillar,WEST BENGAL,SPRAY AZADIRACHTIN 1  EC  3 MLLIT OF WATER,No answer,No answer,No answer,No answer,0.353701
Cashew,anthracnose,ODISHA,SPRAY COPPER OXYCHLORIDE 2 GRAM IN 1 LITRE WATER FOR ANTHRACNOSE IN CASHEW PLANT,SPRAY COPPER OXYCHLORIDE 25GM1 LITER OR RIDOMIL 25GM1 LITER OF WATER,RECOMENDED DOSE OF BLITOX 50 3GM1LIT WATER SPRAY,RECOMENDED DOSE OF MANCOZEB 2GM1LIT WATER SPRAY,MancozebMetaloxyle,0.49688
Cashew,powdery mildew,KERALA,No answer,No answer,No answer,No answer,No answer,0.414903
Cashew,red rust,TAMILNADU,No answer,No answer,No answer,No answer,No answer,0.526263
Castor (Rehri Rendi Arandi),green caterpillar,RAJASTHAN,SPRAY OF INDOXACARB 145 SC 1 ML PER LITER WATER,No answer,No answer,No answer,No answer,4.429957
Castor (Rehri Rendi Arandi),blight,RAJASTHAN,SPRAY OF DIMETHOATE  30 EC 2 ML PER LITER WATER  SPRAY OF HEXACONAZOLE 5 EC 2 ML PER LITER WATER,SPRAY OF DIMETHOATE 30 EC 2ML   CARBENDAZIM 12  MANCOZEB 63 WP 2 GM PER LITER WATER,2 GRAM STRAPTROCYCLINE  45 GRAM COPPEROXCICLORIED PER 16 LITER TANKI WATER SPREY,2 GRAM STRAPTROCYCLINE  45 GRAM COPPEROXCICLORIED PER 16 LITER TANKI WATER SPREY,2 GRAM STRAPTROCYCLINE  45 GRAM COPPEROXCICLORIED PER 16 LITER TANKI WATER SPREY,1.357784
Castor (Rehri Rendi Arandi),termite,RAJASTHAN,USE IMIDACHLOPRID 178 SL 1 LITER PER HA WITH IRRIGATION FOR CONTROL OF TERMITE,USE IMIDACHLOPRID 178 SL 1 LITER PER HA WITH IRRIGATION FOR CONTROL OF TERMITE,USE IMIDACHLOPRID 178 SL 1 LITER PER HA WITH IRRIGATION FOR CONTROL OF TERMITE,USE IMIDACHLOPRID 178 SL 1 LITER PER HA WITH IRRIGATION FOR CONTROL OF TERMITE,USE IMIDACHLOPRID 178 SL 1 LITER PER HA WITH IRRIGATION FOR CONTROL OF TERMITE,1.518879
Castor (Rehri Rendi Arandi),wilt,GUJARAT,Suggested Carbendazim (Bavistin) 50 WP 30 grampump drenching OR 250 gramvigha water treatment,Suggested Carbendazim (Bavistin) 50 WP 30 grampump drenching OR 250 gramvigha water treatment,Suggested Carbendazim (Bavistin) 50 WP 30 grampump drenching OR 250 gramvigha water treatment,Suggested Carbendazim (Bavistin) 50 WP 30 grampump drenching OR 250 gramvigha water treatment,Suggested Carbendazim (Bavistin) 50 WP 30 grampump drenching OR 250 gramvigha water treatment,1.535651
Castor (Rehri Rendi Arandi),white termite,GUJARAT,No answer,No answer,No answer,No answer,No answer,5.869028
Cauliflower,black rot,ODISHA,Recommended to spray Amister Top  20 ml per 15 litres of water to control black rot in cauliflower ,Recommended to spray Amister Top  15 ml per 15 lit of water to control black rot in cauliflower ,RECOMMENDED SPRAY PLANTOMYCIN 15GM  BAVISTIN 30GM15LTR WATER FOR BLACK ROT IN CAULIFLOWER,RECOMMENDED TO SPRAY CAUSAGAMYCINE 2ML LIT WATER FOR CONTROL OF BLACK ROT IN CAULIFLOWER,spray copper oxychloride 30 gram and streptocylin 15 gram in 10 litre water,2.709753
Cauliflower,DOWNY MILDEW,WEST BENGAL,RECOMMENDED FOR SPRAY  METALAXYLMMENFENOXAM  4  MANCOZEB 64 (68 WP)   25 GM   LIT OF WATER,METALAXIL  MANCOZEB  25 GMLITER OF WATER OR  2 COPPER OXYCHLORIDE  4 GMLITER OF WATER,RECOMMENDED FOR SPRAY  METALAXYL 8  MANCOZEB 64  (72 WP)  25 GM   LITER OF WATER,RECOMMENDED FOR SPRAY  METALAXYL 8  MANCOZEB 64  (72 WP)  25 GM   LIT OF WATER ,RECOMMENDED FOR SPRAY  CAPTAN 70  HEXACONAZOLE 5 ( 75 WP)   1 GM  LIT OF WATER,1.847594
Cauliflower,caterpillar,MAHARASHTRA,YOU CAN SPRAY PROFEX SUPER 40 MILI PAMP WATER USE FOR SEMILOOPER CATERPILLER CONTROL ON CAULIFLOWER,Caterpillar Attack on cauliflowerDrenching of Chloropyriphos 40 mlhumic acid 30ml15 lit of water,Spray Tracer 30 ml  15 liter of water(Spinosad)Dow agroSpray Azadirictine 30 ml15 Liter of Water,attack of catterpillar on cauliflowerSpray Fame 5ml15 Liter Of Water(Flubendiamide 480SC)Bayer,ATTACK OF LEAF EATING CATERPILLAR on cauliflower    Spray Chloropyriphos 20 ml15 Lit of Water,0.897177
Cauliflower,stem rot,ODISHA,RECOMMENDED SPRAY OF MANCOZEB 75 WP  3gLITRE OF WATER FOR CONTROLLING WIRE STEM ROT IN CAULIFLOWER,Recommended to spray Dhanzyme gold  200 ml per 200 litre of water per acre of land (1 ml 1 liter),RECOMMENDED FOR SPRAY STREPTOCYCLIN 15GMMANCOZEM 3040GM10L OF WATER FOR STEM ROT IN CAULIFLOWER,RECOMMENDED SPRAY OF MANCOZEB 75 WP  3gLITRE OF WATER FOR CONTROLLING STEM ROT IN CAULIFLOWER,RECOMMENDED SPRAY OF MANCOZEB 75 WP  3gLITRE OF WATER FOR CONTROLLING STEM ROT IN CAULIFLOWER,2.524884
Cauliflower,wilt,HIMACHAL PRADESH,drench indofil m45  25gm   10gm bavistin  15gm straptocycline in 15 liter of water,spray with bavistin  10 gm  straptocycline  1 m10 litre of water ,spray 1 gram steptocyclin per 10 litre of water ,        10    25    1    10       ,        45   ( )   15   15       ,1.187988
Chestnut,aphids,MAHARASHTRA,attack of aphids Spray Actra 5 gm15 Liter of Water(Thiomithoxom 25)Syngenta,Spray super confidor 10 ml 15 liter of water(Imida 178 sl)Bayer,No answer,No answer,No answer,0.439035
Chestnut,fruit borer,MAHARASHTRA,No answer,No answer,No answer,No answer,No answer,0.457683
Chestnut,stem borer,ANDHRA PRADESH,CHESTNUT STEM BORER MANAGEMENT RECOMMENDED TO SPRAY CARBARYL  600 GRAMS PER ACRE 200 LITER OF WATER,CASHEWNUT STEM BORER MANAGEMENT RECOMMENDED TO SPRAY CARBARYL 4 GRAMSLITRE OF WATER,apply forate  150 gr  tree,No answer,No answer,0.371999
Chestnut,aphids,UTTAR PRADESH,         30EC 02 ml         ,No answer,No answer,No answer,No answer,0.479201
Chestnut,sucking pest,ANDHRA PRADESH,SUCKING PEST MANAGEMENTRECOMMENDED TO SPRAY MONOCROTOPHOS 2 ML  CARBENDAZIM C1 GR1 LITER OF WATER,CASHEWNUT SUCKING PEST MANAGEMENT  Profenophos 400 ml  acre IN 200 LITER OF WATER,RECOMMENDED TO SPRAY PROPINOPHOS (CURECRON PROFEXDON BOLERO)  400 ML PER ACRE,chestnut sucking pest management recomended to spray DIMETHOATE  400 MLACRE,cashew nut sucking pest management recomended tD spray IMETHOATE  400MLACRE,0.372038
Chillies,fruit borer,RAJASTHAN,SPRAY OF INDOXACARB 145  10 ML PAR TANKI AND HEXACONAZOLE 5 SC 15 ML PRTI LITAR,insect control in gram  SPRAY OF INDOXACARB 145 SC 1 ML PER LITER WATER,PEST CONTROL IN CROPS SPRAY OF ACEPHATE 75 SP 2 GM PER LITER WATER,SPRAY OF PROFENOFOS 40  CYPERMETHRIN 4 15 ML PER LITER WATER,SPRAY OF MALATHION 50 EC SOLUTION 2 ML PER LITER WATER,15.103683
Chillies,mite,ODISHA,Advised to spray  SPIROMESIFEN 229 EC (OBERON) 200 ml200 liter wateracre to control mites in chilli,Recommended to spray Omite ( propargite 57  EC)   400 ml per 200 litre of water per 1 acre of land ,RECOMMENDED TO SPRAY THIOMETHOXAM 25WG  5 GM  1 LITER OF WATER TO CONTROL THRIPS AND MITE IN CHILLI,Recommended to spray Omite 2ml per litre of water to control Red Spider Mites infestation in Chilli,RECOMMENDED TO SPRAY ACEPHATE 75 SP  2 GM  1 LITER OF WATER  TO CONTROL THRIPS AND MITES IN CHILLI,2.257695
Chillies,thirps,ANDHRA PRADESH,RECOMMENDED TO SPRAY SPINOSAD (TRACER) 75 ML200 LITRES OF WATER  ACRE   75      200        ,RECOMMENDED TO SPRAY  FIPRONIL  IMIDACLOPRID (POLICE) 100 GRAMS200 LITRES OF WATER ACRE  ,RECOMMENDED TO SPRAY FIPRONIL IMIDACLOPRID (POLICE) 100 GRAMS200 LITRES OF WATER ACRE  ,CHILLI THIRPS  MANAGEMENT  RECOMMENDED TO SPRAY SPINOSAD 75 ML200 LITRES OF WATER  ACRE,RECOMMENDED TO SPRAY DIFENTHIURON   300 GRAMS200 LITRES OF WATER ACRE,5.411933
Chillies,blight,ASSAM,Advised to spray Captan (Carbendazim 50 WP)  2gmlit of water 3 times after every week of spraying,RECOMMENDED TO SPRAY AGROMYCIN OR STREPTOMYCIN  2GM 10 L WATER FOR 3 DAYS AT 3 DAYS INTERVAL,RECOMMENDED HIM TO  APPLY   INDOFIL M 45  2GLIT OF WATER SPRAY TWICE AT 5 DAYS INTERVAL,Advised to spray Amister  1 mllit of water 3 times after every week of spraying,RECOMMENDED HIM TO SPRAY STREPTOMYCINPLANTOMYCINAGRIMYCIN  1 GM 10 LIT OF WATER,1.80374
Chillies,aphids,TAMILNADU,Recommended for spray Imidacloprid  4 ml neem oil 30 ml  Sticking agent 5 m l  10 litre of water,Recommended for spray dimethoate 2ml  neem oil 3 ml  sticking agent 05 ml  litre of water,Recommended for spray Dimethoate 2ml  neem oil3ml  sticking agent05 ml1 litre of water,recommended for Spray with dimethoate (Rogar) 2ml teepol 1ml neemoil 3mllit of water,Recommended for spray Dimethoate 2ml  neem oil 3 ml  teepol 1 ml  litre of water,2.216076
Chinese Cabbage,Downy Mildew,ANDHRA PRADESH,No answer,No answer,No answer,No answer,No answer,0.345082
Chinese Cabbage,hopper,MAHARASHTRA,SPRAY KARATE 20 ML15 LITERS OF WATER (Lambdacyhalothrin ) SYNGENTA,No answer,No answer,No answer,No answer,0.416557
Chinese Cabbage,leaf curl,UTTAR PRADESH,ap Difenthuran 50  WP 200 gramacre ki dar se pani me ghol banakar chhidkav karen,ap Difenthuran 50  WP 200 gramacre ki dar se pani me ghol banakar chhidkav Karen,ap Difenthuran 50  WP 200 gramacre ki dar se pani me ghol banakar chhidkav karen,No answer,No answer,0.482176
Chinese Cabbage,blight,MAHARASHTRA,SPRAY RIDOMIL GOLD 30 GM  15 LITERS OF WATER SYNGENTA,Spray m45 30 gm 15 liter water(Mancozeb) INDOFIL,No answer,No answer,No answer,0.417123
Chinese Cabbage,wilt,ANDHRA PRADESH,RECOMMENDED TO SPRAY PROPICONAZOLE   200 ML PER ACRE,No answer,No answer,No answer,No answer,0.349828
Cinnamon,die back,KERALA,No answer,No answer,No answer,No answer,No answer,0.312869
Cinnamon,blight,MAHARASHTRA,Spray Kavach  25 gm15 Liter of Water(Chlorothalonil)Syngenta,No answer,No answer,No answer,No answer,0.41727
Cinnamon,sucking pest,MADHYA PRADESH,Recommended for to control sucking pest in coriander crop spray fipronil 25 ml at 15 liter of water,recommended for to control sucking pest in  crop spray imedachlorprid 57 ml at 15 liter of water,No answer,No answer,No answer,0.39716
Cinnamon,mites,WEST BENGAL,RECOMMENDED FOR SPRAY  FENAZAQUIN 10 EC  15 ML   LIT OF WATER,No answer,No answer,No answer,No answer,0.347836
Cinnamon,caterpillar,ODISHA,RECOMMENDED FOR SPRAY MALATHION 2MLL OF WATER FOR LEAF EATING CATERPILLAR IN CINNAMON,No answer,No answer,No answer,No answer,0.371731
Clove,blight,RAJASTHAN,SPRAY MANCOZEB 75 WP 2 GM PER LITER WATER,SPRAY MANCOZEB  2 GM   LITTER WATER,SPRAY MANCOZEB  2 GM   LITTER WATER,SPRAY MANCOZEB  2 GM   LITTER WATER,SPRAY MANCOZEB  2 GM   LITTER WATER,0.417613
Clove,termite,UTTAR PRADESH,kisan Bhai Chlorpyriphos 20 EC 1 literacre kare,SPRAY CHLOROPYRIPHOS  15 MLLITOF WATER,No answer,No answer,No answer,0.461227
Clove,caterpillar,MAHARASHTRA,Spray Neem Solution 20 ml10 Liter of Water,No answer,No answer,No answer,No answer,0.417366
Clove,fungus,GUJARAT,Suggested Carbendazim 12  Mancozeb 63 WP  4050 grampump Spray,Suggested Mancozeb (M45) 75 WP 35 grampump spray,Suggested Mancozeb (M45) 75 WP 35 grampump spray,Suggested Mancozeb (M45) 75 WP 35 grampump spray,       ()      WP 40          ,0.342799
Clove,yellowing,RAJASTHAN,SPRAY OF ACEPHATE 75 SP 2 GM PER LITER WATER  MENCOJEB 2GM PAR LITAR WATER,SPRAY OF ACEPHATE 75 SP 2 GM PER LITER WATER  MENCOJEB 2GM PAR LITAR WATER,SPRAY OF ACEPHATE 75 SP 2 GM PER LITER WATER  MENCOJEB 2GM PAR LITAR WATER,SPRAY OF CARBENDAZIM 12  MANCOZEB 63 WP 2 GM PER LITER WATER,SPRAY OF CARBENDAZIM 12  MANCOZEB 63 WP 2 GM PER LITER WATER,0.416242
Cluster Bean,sucking pest,GUJARAT,Suggested Copper Oxychloride  50 WP  60 grampump spray Suggested Acephate 75 SP 2025 grampump spray,          (  )                                                                                    ,Suggested Profenofos 50 EC 25 mlpump spraySuggested Monocrotophos 36 scecsl 20mlpump spray,I suggested to spray trizophos  25 mlpump for control sucking pest in cluster bean,I suggested to spray dimethoat 15 mlpump for control sucking pest in cluster bean,1.047119
Cluster Bean,mildew,ANDHRA PRADESH,CLUSTER BEAN POWDERY MILDEW MANAGEMENTRECOMMENDED TO SPRAY DINOCAP  400ML 200 LITRES OF WATER  ACRE,cluster bean powdery mildew management  recommended for spray dinocap 1 ml 1 liter of water,cluster bean powdery mildew management recommended for spray dinocap 1 ml 1 litre of water,RECOMMENDED TO SPRAY   TEBUCONAZOLE  TRIFLOXYSTROBIN  160 GRAMS 200 LITRES OF WATER ACRE,RECOMMENDED TO SPRAY   TEBUCONAZOLE  TRIFLOXYSTROBIN  160 GRAMS 200 LITRES OF WATER ACRE,0.395955
Cluster Bean,fungal,MADHYA PRADESH,recommended for to control of fungal attack in gram crop use belademycin 25ml at 15 liter of water,Recommended for Use copper oxy chloride 45 gram and steptrocyclin 2 gram at 15 liter of water,Recommended for Use copper oxy chloride 45 gram and steptrocyclin 2 gram at 15 liter of water,Recommended for Use copper oxy chloride 45 gram and steptrocyclin 2 gram at 15 liter of water,Recommended for Use copper oxy chloride 45 gram and steptrocyclin 2 gram at 15 liter of water,0.494468
Cluster Bean,sucking pests,GUJARAT,Suggested Copper Oxychloride  50 WP  60 grampump spray Suggested Acephate 75 SP 2025 grampump spray,          (  )                                                                                    ,Suggested Profenofos 50 EC 25 mlpump spraySuggested Monocrotophos 36 scecsl 20mlpump spray,I suggested to spray trizophos  25 mlpump for control sucking pest in cluster bean,I suggested to spray dimethoat 15 mlpump for control sucking pest in cluster bean,1.100789
Cluster Bean,termite,ODISHA,RECOMMENDED TO APPLY CHLORPYRIPHOS 20EC 2ML1 LITRE WATER TO CONTROL TERMITES IN CLUSTER BEAN,RECOMMENDED APPLY CHLOROPYRIPHOS DUST10KGACRE TO CONTROL OF TERMITE ATTACK IN CLUSTERBEAN,spray chloropyriphus 2 ml in one litre of water for termites in cluster bean,RECOMMENDED TO APPLY CHLOROPYRIPHOS DUST 10 KG PER ACRE TO CONTROL TERMITES,TERMITES IN CLUSTER BEAN  SPRAY CHLOROPYRIPHUS 2 ML IN ONE LITRE OF WATER,0.507022
Cocoa,root rot,TAMILNADU,Recommended for soil drench with copper oxychloride 25 gm  lit,No answer,No answer,No answer,No answer,0.362521
Cocoa,nematodes,TAMILNADU,Recommended for apply carbofuran 3G 3 gram plant,No answer,No answer,No answer,No answer,0.365096
Cocoa,canker,KERALA,No answer,No answer,No answer,No answer,No answer,0.345562
Cocoa,stripe,KERALA,No answer,No answer,No answer,No answer,No answer,0.336523
Cocoa,white fly,TAMILNADU,            5     5  10   25    3       ,             04226611214,No answer,No answer,No answer,0.36765
Coconut,red weevil,TAMILNADU,No answer,No answer,No answer,No answer,No answer,6.87372
Coconut,stem bleeding,KERALA, Recommended to apply hexaconazole  25ml in 25litres of water as soil drenching once in four months,Apply Bordeaux mixture in the effected area apply 50 kilo cowdung 5 kilo neemcake per tree per year,Recommended to drench the soil with Hexaconazole (25ml in 25 litre of water) once in 4 months,Apply Bordeaux paste in the effected area apply 25 kilo neemcake 25 kilo cowdung as basal,cut out the affected part and apply bordeaux paste  Root feeding of contaf (hexaconozol),2.357734
Coconut,beetle,ODISHA,RECOMMENDED TO APPLY THIMET 50GM 200GM SAND PER COCONUT PLANT TO KILL RHINOCEROUS BEETLE IN COCONUT,RECOMMENDED TO APPLY CHLOROPYRIPHOUS DUST 50 GMPER TREE FOR CONTROL OF RHINOCEROS BEETLE IN COCONUT,Recommended to apply Quinalaphos 25ec 3ml in 1 litre water to control   Coconut beetle infestation,APPLY FORATE  2025 GM IN SUCKER  PLANT AND THEN APPLY SAND ON IT FOR RHINOSHORUS BEETLE IN COCONUT,RECOMMENDED FOR  APPLY 50GM CHLOROPYRIPHOS 50GM SAND PER PLANYT FOR RHINOCEROUS BEETLE IN COCONUT,0.912352
Coconut,blight,BIHAR,SPRAY COPPER OXY CHLORIDE 2 GRAMLITRE OF WATER ON COCONUT TREE,carbendazime 2gm100ml water at root side,apply carbendazine  2gm 100ml water,spray mencozeb  3 gm05 lt of water,No answer,0.392839
Coconut,canker,ODISHA,APPLY COPPER OXYCHLORIDE AND STREPTOCYCLINE 1GM PER 30 LT OF WATER,apply compost plus neemicide 5kg and micronutrient 500gm per tree,No answer,No answer,No answer,0.977684
Coffee,mealybug,TAMILNADU,No answer,No answer,No answer,No answer,No answer,0.355718
Coffee,antracnose,KARNATAKA,                        05      3    50    1    ,cabendazime 1glitre,spray coc3gmltr,No answer,No answer,0.368099
Coffee,rotting,KERALA,FUNGAL ATTACK  RECOMMENDED TO APPLY PSEUDOMONAS 5MLLTR OF WATER,recommended to spray bavistin  120ml100 lit,No answer,No answer,No answer,0.320257
Coffee,stem borer,TAMILNADU,recommended for spray Lindane 20 EC  1300 ml in 200 of water along with 200 ml of any wetting agent,recommended for spray Bordeaux mixture 1 ,Recommended for spray Bordeaux mixture 1 ,spray monocrotophos 3ml  lit,No answer,0.365649
Coffee,rust,TRIPURA,ADVICE TO SPRAY BAVISTIN  2 GML WATER,No answer,No answer,No answer,No answer,0.324412
Coriander,Powdery mildew,WEST BENGAL,RECOMMENDED FOR SPRAY PROPICONAZOLE 25 EC    075 ML  1  LITER OF WATER,No answer,No answer,No answer,No answer,0.772428
Coriander,Wilt,GUJARAT,Suggested Carbendazim (Bavistin) 50 WP 30 grampump drenching OR 250 gramvigha water treatment,I suggested to spray mencozeb 30 gmpump for control  wilt in coriender,I suggested to spray mencozeb 30 gmpump for control  wilt in coriander,I suggested to spray mencozeb 30 gmpump for control  wilt in coriander,I suggested to spray mencozeb 30 gmpump for control wilt in coriander,1.092747
Coriander,Stem gall,RAJASTHAN,SPRAY OF DIFENACONAZOLE 05 ML PER LITER WATER  STREPTOCYCLIN 15 GM PER LITER WATER,stem gall control in control in corinder  belatone 1 g per litre water spray,stem gall control in control in corinder  belatone 1 g per litre water spray,SPRAY BELATON 1 GRAM IN ONE LITER OF WATER TO AVOID STEM GALL IN CORIANDER,SPRAY OF COPPER OXICHLORIDE 45 GM  STREPTOCYCLIN 15 GM PER 15 LITER WATER,4.057073
